X,Y,NAME,ADDRESS,ZIPCODE,PHONE,FAX,TYPE,CONTACT,ROOM,WEB_URL,MAR_ID,GIS_ID,LATITUDE,LONGITUDE,XCOORD,YCOORD,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID
-8574652.42275819,4716392.10173273,District 4 (4D),6001 GEORGIA AVENUE NW,20011,(202) 715-7400,(202) 722-1791,Station,Cmdr  Hilton Burton, ,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,243485,PolStnPt_1,38.96312578,-77.02741098,397624.37,143913.13,{43654A11-0598-4578-BC47-58249EAA5278},,,DCGIS,2018/02/07 02:48:32+00,1
-8579931.98194367,4712344.2044666,District 2 (2D),3320 IDAHO AVENUE NW,20016,(202) 715-7300,(202) 364-3961,Station,Cmdr  Robert J  Con, ,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,222229,PolStnPt_2,38.93484617,-77.07483805,393511.43,140776.14,{FD5B07BB-47BF-44ED-AC68-15BBBB783A38},,,DCGIS,2018/02/07 02:48:32+00,2
-8574454.63103442,4712033.01218051,District 4 Substation,750 PARK ROAD NW,20010,(202) 576-8222,(202) 576-3350,Substation,Insp  Diane Groomes, ,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,233054,PolStnPt_3,38.93267163,-77.02563419,397777.41,140532.4,{2B5C2A3F-BCB7-467A-BBBD-DAC77C28B7EF},,,DCGIS,2018/02/07 02:48:32+00,3
-8573444.53307992,4710531.96285756,Deaf and Hard Hearing Liaison Unit,310 MCMILLAN DRIVE NW,20009,(202) 671-3550, ,,Off Myra Jordan, ,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,299642,PolStnPt_4,38.92218174,-77.01656033,398563.94,139367.75,{97BE2CD3-8E81-4644-9A10-22016469C041},,,DCGIS,2018/02/07 02:48:32+00,4
-8576372.74331615,4710528.81454189,Latino Liaison Unit,1800 COLUMBIA ROAD NW,20009,(202) 673-4445, ,,Sgt  Juan Espinal, ,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,235413,PolStnPt_5,38.92215973,-77.04286488,396282.89,139366.05,{E3A19FC2-0E54-4BC9-8AAA-2259454D7399},,,DCGIS,2018/02/07 02:48:32+00,5
-8575827.93702692,4709914.69779113,District 3 (3D),1620 V STREET NW,20009,(202) 673-6815,(202) 518-0008,Station,Cmdr  Larry McCoy, ,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,241847,PolStnPt_6,38.91786761,-77.03797081,396707.09,138889.4,{BA199F9B-B27A-4F7C-A841-05706A39E50F},,,DCGIS,2018/02/07 02:48:32+00,6
-8568666.66777036,4709515.5227654,District 5 (5D),1805 BLADENSBURG ROAD NE,20002,(202) 698-0150,(202) 727-8727 ,Station,Cmdr  Jennifer Gree, ,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,286486,PolStnPt_7,38.91507759,-76.97364006,402286.08,138579.33,{3449A3A4-EA61-43E0-9EE3-D7A732B85503},,,DCGIS,2018/02/07 02:48:32+00,7
-8573920.20682464,4707293.96807162,Asian Liaison Unit,616 H STREET NW,20001,(202) 724-8009,(202) 727-9422,,Sgt Kenny Temsupasiri, ,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,295093,PolStnPt_8,38.89954814,-77.02083339,398192.82,136855.31,{1A975D04-0E5D-4B3C-821C-D6EA4B8FADF9},,,DCGIS,2018/02/07 02:48:32+00,8
-8573442.07461805,4706520.20931345,Gay and Lesbian Liaison Unit,300 INDIANA AVENUE NW,20001,(202) 727-5427,(202) 727-4406,,Sgt  Brett A  Parso/Ofc Joe Morquecho,Room 5125,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,279642,PolStnPt_9,38.89431379,-77.01654233,398564.94,136274.18,{AB87EB6F-9E90-4FEA-B363-7EFBA3E83B2D},,,DCGIS,2018/02/07 02:48:32+00,9
-8565243.06588856,4706283.5505579,District 6 (6D),100 42ND STREET NE,20019,(202) 698-0880,(202) 398-5397,Station,Cmdr  Robin Hoey, ,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,294469,PolStnPt_10,38.89248383,-76.94288532,404954.87,136072.46,{EEA13B6F-E691-409A-AB85-95AC85910A9A},,,DCGIS,2018/02/07 02:48:32+00,10
-8571516.51893861,4704979.84510568,District 1 Substation (1D-1) ,500 E STREET SE,20003,(202) 698-0068,(202) 543-2352,Substation,Insp  Andrew Solberg, ,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,289645,PolStnPt_11,38.88336798,-76.9992407,400065.88,135058.98,{7CFFDF61-929F-47C7-95F1-84AC6EDDAB56},,,DCGIS,2018/02/07 02:48:32+00,11
-8573038.06631991,4704038.22784654,District 1 (1D),101 M STREET SW,20024,(202) 698-0555,(202) 727-8503,Station,Cmdr  Thomas McGuire, ,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,152387,PolStnPt_12,38.87678322,-77.01290899,398879.86,134328.1,{822BDEE9-2BFC-48A6-AA08-D701EF5F8D9A},,,DCGIS,2018/02/07 02:48:32+00,12
-8568117.71090947,4703406.34468437,District 6 Substation (6D-1),2701 PENNSYLVANIA AVENUE SE,20019,(202) 698-2088,(202) 584-5397,Substation,Insp  Alton Bigelow, ,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,45427,PolStnPt_13,38.87236409,-76.9687087,402715.38,133837.93,{10F3B0D6-525E-49E5-AA12-75506C008928},,,DCGIS,2018/02/07 02:48:32+00,13
-8567113.26236307,4703035.24035051,Family Liaison Specialist Unit,3244 PENNSYLVANIA AVENUE SE,20020,(202) 645-9629, ,,"Carla Okonkwo, Supervisor", ,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,302990,PolStnPt_14,38.86967012,-76.95931736,403530.47,133539.2,{C3E0E2A9-E728-441F-AEC1-6103DC4A8B34},,,DCGIS,2018/02/07 02:48:32+00,14
-8568208.18071171,4700688.8709538,District 7 (7D),2455 ALABAMA AVENUE SE,20020,(202) 698-1500,(202) 889-3574,Station,Cmdr  Joel Maupin, ,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,278162,PolStnPt_15,38.8533561,-76.9695214,402645.56,131727.88,{B9D0C930-3B1E-4E10-B0D1-A64CB17AF400},,,DCGIS,2018/02/07 02:48:32+00,15
